# t,winchvel,rotvel,lightbright
57602,-0.453996,0.931561,0.607502
57685,-0.450219,0.928992,0.606125
57768,-0.446442,0.926423,0.604749
57851,-0.442665,0.923854,0.603373
57934,-0.438887,0.921285,0.601996
58017,-0.43511,0.918715,0.60062
58100,-0.431333,0.916146,0.599244
58183,-0.427556,0.913577,0.597868
58266,-0.423778,0.911008,0.596491
58349,-0.420001,0.908439,0.595115
58432,-0.416224,0.90587,0.593739
58515,-0.412447,0.9033,0.592362
58598,-0.408669,0.900731,0.590986
58681,-0.404892,0.898162,0.58961
58764,-0.401115,0.895593,0.588233
58847,-0.397338,0.893024,0.586857
58930,-0.39356,0.890455,0.585481
59013,-0.389783,0.887885,0.584104
59096,-0.386006,0.885316,0.582728
59179,-0.382229,0.882747,0.581352
59262,-0.378452,0.880178,0.579975
59345,-0.374674,0.877609,0.578599
59428,-0.370897,0.87504,0.577223
59511,-0.36712,0.87247,0.575847
59594,-0.363343,0.869901,0.57447
59677,-0.359565,0.867332,0.573094
59760,-0.355788,0.864763,0.571718
59843,-0.352011,0.862194,0.570341
59926,-0.348234,0.859625,0.568965
60009,-0.344456,0.857056,0.567589
60092,-0.340679,0.854486,0.566212
60175,-0.336902,0.851917,0.564836
60258,-0.333125,0.849348,0.56346
60341,-0.329347,0.846779,0.562083
60424,-0.32557,0.84421,0.560707
60507,-0.321793,0.841641,0.559331
60590,-0.318016,0.839071,0.557954
60673,-0.314239,0.836502,0.556578
60756,-0.310461,0.833933,0.555202
60839,-0.306684,0.831364,0.553825
60922,-0.302907,0.828795,0.552449
61005,-0.29913,0.826226,0.551073
61088,-0.295352,0.823656,0.549697
61171,-0.291575,0.821087,0.54832
61254,-0.287798,0.818518,0.546944
61337,-0.284021,0.815949,0.545568
61420,-0.280244,0.81338,0.544191
61503,-0.276466,0.810811,0.542815
61586,-0.272689,0.808241,0.541439
61669,-0.268912,0.805672,0.540062
61752,-0.265135,0.803103,0.538686
61835,-0.261357,0.800534,0.53731
61918,-0.25758,0.797965,0.535933
62001,-0.253803,0.795396,0.534557
62084,-0.250026,0.792826,0.533181
62167,-0.246248,0.790257,0.531804
62250,-0.242471,0.787688,0.530428
62333,-0.238694,0.785119,0.529052
62416,-0.234917,0.78255,0.527676
62499,-0.231139,0.779981,0.526299
62582,-0.227362,0.777411,0.524923
62665,-0.223585,0.774842,0.523547
62748,-0.219808,0.772273,0.52217
62831,-0.21603,0.769704,0.520794
62914,-0.212253,0.767135,0.519418
62997,-0.208476,0.764566,0.518041
63080,-0.204699,0.761997,0.516665
63163,-0.200922,0.759427,0.515289
63246,-0.197144,0.756858,0.513912
63329,-0.193367,0.754289,0.512536
63412,-0.18959,0.75172,0.51116
63495,-0.185813,0.749151,0.509783
63578,-0.182035,0.746582,0.508407
63661,-0.178258,0.744012,0.507031
63744,-0.174481,0.741443,0.505654
63827,-0.170704,0.738874,0.504278
